** net setting **
** dataset setting **
	WIDTH, HEIGHT = 256, 256
	train_dataset.split = train1_ids_gray2_500
	valid_dataset.split = valid1_ids_gray2_43
	len(train_dataset)  = 500
	len(valid_dataset)  = 43
	len(train_loader)   = 62
	len(valid_loader)   = 6
	batch_size  = 8
	iter_accum  = 1
	batch_size*iter_accum  = 8


--- [START 2018-03-28_07-17-35] ----------------------------------------------------------------

** some experiment setting **
	SEED         = 35202
	out_dir      = /scratch/ly15/a000_2018-3-21_lr0.001_W256_H256_bc8_train1_ids_gray2_500_valid1_ids_gray2_43

** net setting **
net version 'mask-rcnn-resnet50-fpn'

** start training here! **
 optimizer=SGD (
Parameter Group 0
    dampening: 0
    lr: 0.001
    momentum: 0.9
    nesterov: False
    weight_decay: 0.0001
)
 momentum=0.900000
 LR=None

 images_per_epoch = 500

 rate    iter   epoch  num   | valid_loss               | train_loss               | batch_loss               |  time          
0.0010   5.5 k   88.0  0.0 m | 0.534   0.03 0.02   0.32 0.01   0.15 | 0.602   0.03 0.04   0.33 0.02   0.18 | 0.669   0.03 0.04   0.40 0.02   0.18 | 14 hr 29 min
0.0010   5.6 k   89.6  0.0 m | 0.599   0.03 0.03   0.39 0.01   0.15 | 0.544   0.03 0.04   0.30 0.02   0.16 | 0.496   0.03 0.03   0.27 0.02   0.15 | 14 hr 48 min
0.0010   5.7 k   91.2  0.0 m | 0.599   0.03 0.02   0.39 0.01   0.15 | 0.590   0.03 0.04   0.32 0.02   0.18 | 0.623   0.03 0.05   0.34 0.02   0.18 | 15 hr 04 min
0.0010   5.8 k   92.8  0.0 m | 0.526   0.03 0.02   0.32 0.01   0.15 | 0.643   0.03 0.04   0.37 0.02   0.18 | 0.535   0.03 0.04   0.31 0.01   0.15 | 15 hr 25 min
0.0010   5.9 k   94.4  0.0 m | 0.573   0.03 0.03   0.37 0.01   0.14 | 0.606   0.03 0.04   0.34 0.02   0.18 | 0.652   0.04 0.05   0.32 0.02   0.23 | 15 hr 43 min
0.0010   6.0 k   96.0  0.0 m | 0.562   0.03 0.02   0.35 0.01   0.15 | 0.591   0.03 0.04   0.33 0.02   0.18 | 0.670   0.04 0.04   0.37 0.02   0.20 | 16 hr 02 min
0.0010   6.1 k   97.6  0.0 m | 0.563   0.03 0.02   0.36 0.01   0.14 | 0.606   0.04 0.04   0.35 0.02   0.17 | 0.617   0.02 0.04   0.35 0.02   0.18 | 16 hr 22 min
0.0010   6.2 k   99.2  0.0 m | 0.553   0.03 0.02   0.35 0.01   0.15 | 0.616   0.03 0.04   0.35 0.02   0.18 | 0.527   0.03 0.04   0.27 0.02   0.17 | 16 hr 41 min
0.0010   6.3 k  100.8  0.1 m | 0.581   0.03 0.02   0.38 0.01   0.14 | 0.633   0.03 0.04   0.36 0.02   0.18 | 0.738   0.04 0.04   0.42 0.02   0.22 | 16 hr 58 min
0.0010   6.4 k  102.4  0.1 m | 0.493   0.03 0.02   0.29 0.01   0.15 | 0.612   0.03 0.04   0.34 0.02   0.18 | 0.556   0.00 0.03   0.31 0.02   0.19 | 17 hr 17 min
0.0010   6.5 k  104.0  0.1 m | 0.488   0.02 0.02   0.28 0.01   0.15 | 0.589   0.03 0.04   0.33 0.02   0.18 | 0.845   0.06 0.05   0.46 0.02   0.25 | 17 hr 34 min
0.0010   6.6 k  105.6  0.1 m | 0.555   0.03 0.03   0.35 0.01   0.14 | 0.609   0.03 0.04   0.33 0.02   0.19 | 0.696   0.03 0.04   0.40 0.02   0.21 | 17 hr 51 min
0.0010   6.7 k  107.2  0.1 m | 0.598   0.02 0.02   0.40 0.01   0.14 | 0.666   0.03 0.04   0.39 0.02   0.18 | 0.713   0.06 0.04   0.43 0.02   0.16 | 18 hr 10 min
0.0010   6.8 k  108.8  0.1 m | 0.516   0.03 0.02   0.31 0.01   0.15 | 0.609   0.03 0.04   0.34 0.02   0.18 | 0.564   0.04 0.04   0.31 0.01   0.16 | 18 hr 30 min
0.0010   6.9 k  110.4  0.1 m | 0.518   0.02 0.02   0.32 0.01   0.14 | 0.611   0.03 0.04   0.34 0.02   0.18 | 0.498   0.03 0.03   0.27 0.01   0.15 | 18 hr 50 min
0.0010   7.0 k  112.0  0.1 m | 0.471   0.02 0.03   0.26 0.01   0.16 | 0.649   0.03 0.04   0.37 0.02   0.19 | 0.352   0.00 0.03   0.17 0.01   0.13 | 19 hr 07 min
0.0010   7.1 k  113.6  0.1 m | 0.535   0.02 0.02   0.33 0.01   0.15 | 0.641   0.04 0.04   0.37 0.02   0.18 | 0.571   0.03 0.04   0.30 0.02   0.19 | 19 hr 24 min
0.0010   7.2 k  115.2  0.1 m | 0.527   0.02 0.02   0.32 0.01   0.15 | 0.616   0.03 0.04   0.36 0.02   0.17 | 0.563   0.03 0.04   0.28 0.02   0.20 | 19 hr 42 min
0.0010   7.3 k  116.8  0.1 m | 0.574   0.02 0.02   0.38 0.01   0.14 | 0.614   0.03 0.04   0.35 0.02   0.18 | 0.568   0.03 0.03   0.32 0.02   0.17 | 19 hr 56 min
0.0010   7.4 k  118.4  0.1 m | 0.569   0.02 0.02   0.37 0.01   0.15 | 0.615   0.02 0.04   0.37 0.01   0.18 | 0.552   0.00 0.03   0.36 0.01   0.15 | 20 hr 10 min
0.0010   7.5 k  120.0  0.1 m | 0.510   0.02 0.02   0.30 0.01   0.15 | 0.631   0.03 0.04   0.37 0.02   0.18 | 0.631   0.03 0.04   0.35 0.02   0.20 | 20 hr 23 min
0.0010   7.6 k  121.6  0.1 m | 0.507   0.02 0.02   0.31 0.01   0.14 | 0.625   0.03 0.04   0.36 0.02   0.18 | 0.578   0.02 0.03   0.34 0.01   0.17 | 20 hr 37 min
0.0010   7.7 k  123.2  0.1 m | 0.527   0.02 0.02   0.33 0.01   0.14 | 0.608   0.03 0.04   0.35 0.02   0.18 | 0.799   0.05 0.04   0.48 0.02   0.20 | 20 hr 50 min
0.0010   7.8 k  124.8  0.1 m | 0.509   0.02 0.02   0.31 0.01   0.14 | 0.600   0.03 0.04   0.34 0.02   0.18 | 0.593   0.01 0.05   0.33 0.02   0.18 | 21 hr 04 min
0.0010   7.9 k  126.4  0.1 m | 0.507   0.02 0.02   0.31 0.01   0.14 | 0.676   0.03 0.04   0.40 0.02   0.19 | 0.679   0.05 0.04   0.37 0.02   0.20 | 21 hr 17 min
0.0010   8.0 k  128.0  0.1 m | 0.487   0.02 0.02   0.30 0.01   0.14 | 0.575   0.03 0.04   0.32 0.02   0.17 | 0.489   0.02 0.03   0.26 0.01   0.16 | 21 hr 31 min
0.0010   8.1 k  129.6  0.1 m | 0.504   0.02 0.02   0.31 0.01   0.14 | 0.585   0.03 0.04   0.34 0.02   0.17 | 0.611   0.03 0.04   0.35 0.02   0.17 | 21 hr 44 min
0.0010   8.2 k  131.2  0.1 m | 0.510   0.02 0.02   0.31 0.01   0.15 | 0.567   0.03 0.03   0.32 0.02   0.17 | 0.679   0.04 0.03   0.42 0.01   0.18 | 21 hr 55 min
0.0010   8.3 k  132.8  0.1 m | 0.509   0.02 0.02   0.30 0.01   0.15 | 0.601   0.03 0.04   0.34 0.02   0.18 | 0.552   0.03 0.03   0.32 0.02   0.15 | 22 hr 07 min
0.0010   8.4 k  134.4  0.1 m | 0.552   0.02 0.02   0.36 0.01   0.14 | 0.588   0.03 0.04   0.34 0.01   0.17 | 0.549   0.02 0.03   0.34 0.01   0.15 | 22 hr 19 min
0.0010   8.5 k  136.0  0.1 m | 0.439   0.02 0.02   0.24 0.01   0.14 | 0.632   0.03 0.04   0.36 0.02   0.19 | 0.420   0.02 0.04   0.23 0.01   0.12 | 22 hr 31 min
0.0010   8.6 k  137.6  0.1 m | 0.501   0.02 0.02   0.31 0.01   0.14 | 0.583   0.03 0.04   0.33 0.02   0.17 | 0.689   0.03 0.05   0.38 0.02   0.21 | 22 hr 42 min
0.0010   8.7 k  139.2  0.1 m | 0.550   0.02 0.02   0.36 0.01   0.14 | 0.772   0.04 0.05   0.43 0.02   0.22 | 0.541   0.04 0.04   0.29 0.02   0.16 | 22 hr 54 min
0.0010   8.8 k  140.8  0.1 m | 0.472   0.02 0.02   0.27 0.01   0.15 | 0.585   0.03 0.04   0.33 0.02   0.17 | 0.560   0.04 0.05   0.30 0.01   0.15 | 23 hr 05 min
0.0010   8.9 k  142.4  0.1 m | 0.455   0.02 0.02   0.25 0.01   0.15 | 0.593   0.03 0.04   0.33 0.02   0.18 | 0.548   0.03 0.03   0.31 0.01   0.16 | 23 hr 17 min
0.0010   9.0 k  144.0  0.1 m | 0.461   0.02 0.02   0.27 0.01   0.14 | 0.591   0.03 0.04   0.34 0.02   0.17 | 0.471   0.01 0.03   0.27 0.01   0.14 | 23 hr 29 min
0.0010   9.1 k  145.6  0.1 m | 0.544   0.02 0.02   0.35 0.01   0.14 | 0.574   0.02 0.04   0.32 0.02   0.18 | 0.501   0.03 0.03   0.28 0.01   0.15 | 23 hr 42 min
0.0010   9.2 k  147.2  0.1 m | 0.513   0.02 0.02   0.32 0.01   0.14 | 0.499   0.03 0.03   0.28 0.01   0.14 | 0.686   0.05 0.04   0.36 0.02   0.21 | 23 hr 54 min
